nomorPBS,subsistem,namaAset
5.1.3,Lab. Analisis,Mikroskop
5.1.4,Lab. Analisis,Timbangan Laboratorium
6.1.1,Sistem Konsentrasi Bijih,Air Table
6.1.2,Sistem Konsentrasi Bijih,High Tension Separator (HTS)
7.1.1,Gas Handling Tanur Reverb,Skin Cooler - DCS Tanur Reverb
7.1.2,Gas Handling Tanur Reverb,Bag Filter - DCS Tanur Reverb
7.1.3,Gas Handling Tanur Reverb,ID Fan - DCS Tanur Reverb
7.1.4,Gas Handling Tanur Reverb,Cerobong - DCS Tanur Reverb
8.1.2,Kompressor,Distribution Board
9.1.1,Hydrant,Water
9.1.2,Cooling System,Water Circulation
9.1.3,Genset dan Power House,Trafo Step Up 20kv
9.1.4,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Pneumatic
9.1.5,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Pneumatic
9.1.6,Sistem Elektroda,Motor Screw Hopper Elektroda Tanur
9.1.7,Hydrant,Motor Pump
9.1.8,Rotary Kiln,Motor Gearbox
9.1.10,Cooling System,Diesel Pump
9.2.1,"Sistem Gas Handling, Ventilasi, dan Dust Collection",ID Fan
9.2.2,"Sistem Gas Handling, Ventilasi, dan Dust Collection",ID Fan Tanur
9.2.3,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Exhaust Fan
9.2.4,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Exhaust Fan
9.3.1,Hydrant,Jockey Pump
9.3.2,Kompressor,Mesin Compressor Sullair
9.4.1,Cooling System,Water Instalasi
9.9.1,Panel Furnace Tegangan Rendah,Panel Furnace
11.1.1,Bangunan,Area Genset/Trafo
11.1.1,Bangunan,Pos Jaga
11.1.2,Bangunan,Area Peleburan/Tanur
12.1.1,Komposisi,Blower Vacuum
12.1.2,Bangunan,Bangunan Crusher
12.1.3,Bangunan,"Gedung Antrasit, Workshop, dan Gudang Pasir"
12.1.4,Bangunan,Gedung HTS MS
12.1.5,Bangunan,Gedung Komposisi
12.1.6,Bangunan,Gedung Musholla
12.1.7,Bangunan,Gedung Office
12.1.8,Bangunan,Gedung Rotary Kiln & Flame Oven
12.1.9,Bangunan,Gedung Timbangan
12.1.10,Bangunan,Gudang Pasir
12.1.11,Bangunan,Gudang Sparepart
12.1.12,Bangunan,Laboratorium
12.1.13,Bangunan,Gedung Produksi Tanur
12.1.14,Bangunan,Gedung Genset
12.1.15,Bangunan,Gedung Ruang Pompa
13.1.1,Bangunan,Workshop Teknik
13.1.2,Bangunan,Rumah Parkir Alat Berat
13.1.3,Bangunan,Workshop Tanur Listrik
13.1.4,Bangunan,Rumah Kompressor
13.1.5,Bangunan,Rumah Cooling System
13.1.6,Bangunan,Workshop Listrik
13.1.8,Bangunan,Rumah Baghouse
14.1.1,Bangunan,Rumah Mainflue
14.1.2,Bangunan,Struktur Fixed Tanur
14.1.3,Bangunan,Struktur Fixed Pemurnian
