recorded_nomorPBS,recorded_namaAset,records,pbsCanonical,subsistemCanonical,namaAsetCanonical,unitLabel,note
2.4.3,Superheater 2,2,2.4.3,Sistem Pemanasan dan Burner,Burner – Flame Oven,Superheater 2,
2.4.3,Superheater F.O Refining,1,2.4.3,Sistem Pemanasan dan Burner,Burner – Flame Oven,Superheater f.o Refining,
2.4.3,Superheater F.O Tanur,1,2.4.3,Sistem Pemanasan dan Burner,Burner – Flame Oven,Superheater f.o Tanur,
2.4.3,Superheater Tanur 1,2,2.4.3,Sistem Pemanasan dan Burner,Burner – Flame Oven,Superheater Tanur 1,
2.4.3,Superheater Tanur 2,1,2.4.3,Sistem Pemanasan dan Burner,Burner – Flame Oven,Superheater Tanur 2,
2.5.4,Sistem Pneumatic,2,2.5.4,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Pneumatic System Refining,Sistem,
2.5.5,Bag House Refining,4,2.5.5,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Bag House Refining,,
2.5.5,Dust Collector,1,2.5.5,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Bag House Refining,Dust Collector,
2.5.6,Blower Hisap Bag House Refining,1,2.5.6,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Blower Hisap Bag House Refining,,
2.5.11,Bag House Flame Oven,1,2.5.11,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Bag House Flame Oven,,
2.5.14,Ducting,1,2.5.14,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Hood dan Ducting Penangkap Fume,,
2.5.14,Hood dan Ducting Penangkap Fume,8,2.5.14,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Hood dan Ducting Penangkap Fume,,
2.5.15,Stack / Cerobong,1,2.5.15,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Stack / Cerobong,,
2.5.15,Stack/Cerobong,6,2.5.15,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Stack / Cerobong,,
2.5.16,Cyclone - Pemurnian,1,2.5.16,"Sistem Gas Handling, Ventilasi, dan Dust Collection",Cyclone - Pemurnian,,
2.6.1,Pompa Air Pendingin Pot Casting,1,2.6.1,Sistem Pendinginan Air,Pompa Air Pendingin Pot Casting,,
12.1.5,Cooling Tower,3,2.6.2,Sistem Pendinginan Air,Tower Tandon Air – Refining/Casting,Cooling Tower,merged from 12.1.5
2.6.2,Cooling Tower Tanur A,2,2.6.2,Sistem Pendinginan Air,Tower Tandon Air – Refining/Casting,Cooling Tanur A,
2.6.2,Cooling Tower Tanur B,2,2.6.2,Sistem Pendinginan Air,Tower Tandon Air – Refining/Casting,Cooling Tanur B,
2.6.2,Tower Tandon Air – Refining/Casting,1,2.6.2,Sistem Pendinginan Air,Tower Tandon Air – Refining/Casting,,
2.6.3,Sirkulasi Air,1,2.6.3,Sistem Pendinginan Air,Sirkulasi Air,,
2.6.5,Mesin Pompa Air Pendingin Crystallizer & Casting,2,2.6.5,Sistem Pendinginan Air,Mesin Pompa Air Pendingin Crystallizer & Casting,,
2.7.1,Panel Electrical Refining,6,2.7.1,"Sistem Kelistrikan, Kontrol, Instrumentasi, dan Interlock",Panel Electrical Refining,,
2.7.1,Panel Kontrol,2,2.7.1,"Sistem Kelistrikan, Kontrol, Instrumentasi, dan Interlock",Panel Electrical Refining,Kontrol,
2.7.1,Panel Refining,1,2.7.1,"Sistem Kelistrikan, Kontrol, Instrumentasi, dan Interlock",Panel Electrical Refining,,
2.7.2,Panel Thermocouple Pot Refining,1,2.7.2,"Sistem Kelistrikan, Kontrol, Instrumentasi, dan Interlock",Panel Thermocouple Pot Refining,,
2.7.3,Panel Electrical Crsytallizer 1,2,2.7.3,"Sistem Kelistrikan, Kontrol, Instrumentasi, dan Interlock",Panel Electrical Crystallizer,Crsytallizer 1,
2.7.3,Panel Electrical Crsytallizer 2,1,2.7.3,"Sistem Kelistrikan, Kontrol, Instrumentasi, dan Interlock",Panel Electrical Crystallizer,Crsytallizer 2,
2.7.3,Panel Electrical Crystallizer,5,2.7.3,"Sistem Kelistrikan, Kontrol, Instrumentasi, dan Interlock",Panel Electrical Crystallizer,,
2.7.3,Panel Electrical Crystallizer 1,1,2.7.3,"Sistem Kelistrikan, Kontrol, Instrumentasi, dan Interlock",Panel Electrical Crystallizer,1,
2.8.1,Hoist Crane 10/5 Ton 1 Refining,1,2.8.1,"Sistem Pengangkatan, Platform, dan Akses",Hoist Crane – Refining,10 5 Ton 1,
2.8.1,Hoist Crane – Refining,4,2.8.1,"Sistem Pengangkatan, Platform, dan Akses",Hoist Crane – Refining,,
2.8.1,Hoistcrane 5 Ton Refining,1,2.8.1,"Sistem Pengangkatan, Platform, dan Akses",Hoist Crane – Refining,5 Ton,
2.8.2,Platform Refining,4,2.8.2,"Sistem Pengangkatan, Platform, dan Akses",Lantai Atas Refining,Platform,
2.8.3,Hoist Crane – Crystallizer,4,2.8.3,"Sistem Pengangkatan, Platform, dan Akses",Hoist Crane – Crystallizer,,
2.8.3,Hoistcrane 3 Ton Crystalizer,1,2.8.3,"Sistem Pengangkatan, Platform, dan Akses",Hoist Crane – Crystallizer,3 Ton Crystalizer,
2.8.4,Hoist Crane – Casting,2,2.8.4,"Sistem Pengangkatan, Platform, dan Akses",Hoist Crane – Casting,,
2.8.7,Hoist Crane – Gudang Ingot,1,2.8.7,"Sistem Pengangkatan, Platform, dan Akses",Hoist Crane – Gudang Ingot,,
2.9.1,Mixer,7,2.9.1,Persiapan Komposisi / Bahan Tambahan,Mixer,,
2.9.1,Mixer 1,6,2.9.1,Persiapan Komposisi / Bahan Tambahan,Mixer,1,
2.9.1,Mixer 2,1,2.9.1,Persiapan Komposisi / Bahan Tambahan,Mixer,2,
2.10.1,Mesin Crusher,6,2.10.1,Persiapan Antrasit,Mesin Crusher,,
2.12.1,Tanur Flame Oven,8,2.12.1,Sistem Flame Oven,Tanur Flame Oven,,
2.13.1,Timbangan Duduk,2,2.13.1,Gudang dan Penimbangan Ingot,Timbangan Duduk,,
2.13.2,Anak Timbangan,1,2.13.2,Gudang dan Penimbangan Ingot,Anak Timbangan,,
3.1.1,Incoming PLN,1,3.1.1,Sistem Kelistrikan Utama dan Daya Cadangan,Kubikel Incoming PLN,,
3.1.1,Incoming PLN 1,2,3.1.1,Sistem Kelistrikan Utama dan Daya Cadangan,Kubikel Incoming PLN,1,
3.1.1,Incoming PLN 2,2,3.1.1,Sistem Kelistrikan Utama dan Daya Cadangan,Kubikel Incoming PLN,2,
3.1.1,Kubikel 20kv,1,3.1.1,Sistem Kelistrikan Utama dan Daya Cadangan,Kubikel Incoming PLN,20kv,
3.1.1,Kubikel Incoming PLN,3,3.1.1,Sistem Kelistrikan Utama dan Daya Cadangan,Kubikel Incoming PLN,,
3.1.2,Daihatsu 1000kva,1,3.1.2,Sistem Kelistrikan Utama dan Daya Cadangan,Genset,Daihatsu 1000kva,
3.1.2,Genset,11,3.1.2,Sistem Kelistrikan Utama dan Daya Cadangan,Genset,,
3.1.2,Genset 1 HIMOINSA 300KVA,1,3.1.2,Sistem Kelistrikan Utama dan Daya Cadangan,Genset,1 Himoinsa 300kva,
